year,region,city,business_activity,business_examples,smes_count,avg_capital,avg_rent_monthly_est,rent_source,operating_costs_monthly,competition_level,required_permits
2024,منطقة عسير,ابـها,الهندسة المدنية,مكتب إشراف هندسي | تصميم طرق وبنية تحتية | استشارات مشاريع إنشائية,164,128000,57232,actual,687514,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة الاستخدام,مكتب استقدام عمالة منزلية | توفير عاملات منزليات | خدمات تشغيل عمالة منزلية,60,132000,57232,actual,143006,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة الامن والتحقيقات,شركة حراسات أمنية | أنظمة مراقبة | خدمات تحقيق ومتابعة,10,119000,57232,actual,164170,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من انشطة,شركة تطوير تطبيقات | برمجة مواقع إلكترونية | استشارات تقنية معلومات,45,159000,29398,actual,236704,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة البرمجة والاذاعة,إذاعة رقمية | إنتاج برامج صوتية | بث محتوى إعلامي,3,115500,29398,actual,5904,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,شركة توصيل طرود | خدمات بريد سريع | توصيل طلبات محلية,18,135500,57232,actual,73217,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة التشييد المتخصصة,أعمال اللياسة والدهان | تركيب الجبس والأسقف | أعمال العزل المائي والحراري,2225,202500,57232,actual,3392747,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة الخدمات الشخصية الاخرى,صالون حلاقة رجالي | مركز تجميل نسائي | مغسلة ملابس,1960,133000,57232,actual,857759,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة الخدمات المالية ، فيما عدا تمويل التامين وصناديق المعاشات,شركة وساطة مالية | خدمات تحويل أموال | استشارات مالية,14,136000,57232,actual,1505808,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة العمل الاجتماعي، دون اقامة,مركز رعاية نهارية | خدمة دعم أسري واجتماعي | مركز تأهيل اجتماعي نهاري,93,134000,57232,actual,146660,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,مكتب تصميم معماري | مكتب هندسي | مختبر فحص مواد البناء,129,141500,57232,actual,405879,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة المكاتب الرئيسية، والانشطة الاستشارية في مجال الادارة,استشارات إدارية | تخطيط أعمال | تطوير استراتيجيات شركات,18,120000,29398,actual,162707,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة المكتبات والمحفوظات والمتاحف والانشطة الثقافية الاخرى,مكتبة عامة خاصة | متحف خاص | مركز أرشفة ووثائق,10,108000,57232,actual,4236,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة المنظمات ذات العضوية,جمعية مهنية | نادي أعمال | جمعية حرفيين,18,113000,57232,actual,75518,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة النشر,دار نشر كتب | نشر إلكتروني | إصدار مجلات متخصصة,14,125000,57232,actual,147786,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة انتاج الافلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,إنتاج فيديوهات دعائية | استوديو تسجيل صوتي | إنتاج أفلام قصيرة,12,124500,57232,actual,38256,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة تقديم الخدمات للمباني وتجميل المواقع,شركة نظافة مباني | تنسيق حدائق | مكافحة حشرات,231,139500,57232,actual,462882,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,جمع النفايات التجارية | إعادة تدوير البلاستيك | فرز مخلفات,18,114500,57232,actual,66996,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة خدمات الاطعمة والمشروبات,مطعم وجبات سريعة | كوفي شوب | محل عصائر,4965,143000,57232,actual,2815226,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | تصريح سلامة غذاء (هيئة الغذاء والدواء SFDA) | شهادة صحية للعاملين
2024,منطقة عسير,ابـها,انشطة خدمات المعلومات,تحليل بيانات | إدارة محتوى رقمي | خدمات قواعد بيانات,2,112000,57232,actual,184422,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة خدمات دعم التعدين,نقل معدات التعدين | صيانة مواقع التعدين | خدمات تشغيل المناجم,12,179000,57232,actual,243357,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,انشطة زراعة المحاصيل والانتاج الحيواني والصيد والخدمات المتصلة,مزرعة خضروات | مشروع تربية أغنام | إنتاج عسل ومنتجات نحل,157,140000,46054,actual,19364,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,محل ملابس | سوبرماركت | محل عطور,4919,142500,46054,actual,10966904,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,مستودع مواد غذائية بالجملة | تاجر جملة للمنظفات | جملة الأدوات المكتبية,1106,145500,57232,actual,9824490,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,تجارة الجملة والتجزئة ، واصلاح المركبات ذات المحركات والدراجات النارية,معرض سيارات مع صيانة | محل بيع قطع غيار وصيانة | ورشة بيع وإصلاح دراجات نارية,1999,140000,46054,actual,6513887,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,تجميع المياه ومعالجتها وتوصيلها,محطة تنقية مياه | تعبئة مياه شرب | توزيع مياه للمباني,89,195500,57232,actual,79168,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,تشييد المباني,مقاول بناء فلل | شركة بناء عمائر سكنية | تنفيذ مباني تجارية,6517,148000,57232,actual,4242312,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,تعدين ركازات الفلزات,استخراج خام الحديد | تعدين النحاس | تعدين خامات معدنية,10,102000,57232,actual,243357,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,توصيل الكهرباء والغاز والبخار وتكييف الهواء,تمديدات كهربائية صناعية | شبكات غاز | أنظمة تكييف مركزية,24,179500,57232,actual,198834,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صناعة الالات والمعدات غير المصنفة في موضع اخر,تصنيع معدات تعبئة | إنتاج معدات ورش | تصنيع معدات خفيفة,7,110000,57232,actual,303006,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع الاثاث,مصنع كنب | ورشة أثاث مكتبي | تفصيل غرف نوم,300,128500,57232,actual,503008,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع الحواسيب والمنتجات الالكترونية والبصرية,تجميع حواسيب | تصنيع شاشات إلكترونية | إنتاج أجهزة استشعار,15,117000,57232,actual,34707,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع الفلزات القاعدية,مصهر معادن | تصنيع سبائك | معالجة خامات معدنية,31,138500,57232,actual,452915,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع المعدات الكهربائية,تصنيع لوحات كهربائية | إنتاج مفاتيح ومقابس | تصنيع محولات صغيرة,13,110000,57232,actual,771696,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع منتجات المطاط واللدائن,مصنع عبوات بلاستيكية | تصنيع مواسير PVC | منتجات مطاطية,6,122000,57232,actual,676222,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع منتجات المعادن اللافلزية الاخرى,مصنع بلاط | مصنع طوب | مصنع زجاج,218,117500,57232,actual,1625594,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صنع منتجات المعادن المشكلة ( باستثناء الالات والمعدات ),مصنع أبواب حديد | ورشة تشكيل خزانات معدنية | تصنيع رفوف معدنية,496,133500,57232,actual,1163250,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صيد الاسماك وتربية المائيات,مزرعة أسماك | مشروع أقفاص بحرية | تربية روبيان,98,130000,46054,actual,19364,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الاثاث ، صُنع اصناف من القش ومواد الضفر,ورشة تصنيع أبواب خشبية | تصنيع صناديق خشب | منتجات ديكور خشبية,142,136000,57232,actual,206696,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع المشروبات,مصنع عصائر | مصنع مياه منكهة | إنتاج مشروبات غازية,6,120000,57232,actual,241109,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | تصريح سلامة غذاء (هيئة الغذاء والدواء SFDA) | شهادة صحية للعاملين
2024,منطقة عسير,ابـها,صُنع الملبوسات,مشغل خياطة | مصنع عباءات | مصنع زي موحد,474,145500,57232,actual,371129,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع المنتجات الجلدية والمنتجات ذات الصلة,مصنع أحذية جلدية | تصنيع حقائب | منتجات جلدية صغيرة,3,108500,57232,actual,23625,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع المنتجات الغذائية,مصنع حلويات | مصنع معجنات | مصنع تعبئة التمور,350,131000,57232,actual,1456040,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع المنسوجات,مصنع أقمشة | إنتاج مفروشات | تصنيع ستائر,37,133500,57232,actual,248035,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع المواد الكيميائية والمنتجات الكيميائية,مصنع منظفات | إنتاج دهانات | مصنع مواد تنظيف صناعية,12,115500,57232,actual,3514529,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,صُنع الورق ومنتجات الورق,مصنع مناديل ورقية | إنتاج كراتين | تصنيع أكياس ورقية,6,102000,57232,actual,209981,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,منطقة عسير,ابـها,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والانشطة المتصلة بها,وكالة سفر | تنظيم رحلات سياحية | مكتب حجز فنادق وتذاكر,43,116000,57232,actual,155595,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,المنطقة الشرقية,بقيق,ابحاث الاعلان والسوق,شركة أبحاث سوق | قياس رضا العملاء | دراسات سلوك المستهلك,15,301500,30000,simulated,291058,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,المنطقة الشرقية,بقيق,اصلاح اجهزة الحاسوب والسلع الشخصية والمنزلية,صيانة لابتوبات | تصليح جوالات | إصلاح أجهزة منزلية,51,379000,30100,simulated,221473,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,المنطقة الشرقية,بقيق,اصلاح وتركيب الالات والمعدات,صيانة مولدات كهربائية | تركيب معدات مصانع | إصلاح مضخات ومعدات تشغيل,56,326000,30300,simulated,432430,High,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,المنطقة الشرقية,بقيق,الاتصالات,مزود خدمة اتصالات | مركز اتصالات وتقنية | خدمات شبكات اتصال,9,336000,28300,simulated,132580,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
2024,المنطقة الشرقية,بقيق,الاقامة,فندق صغير | شقق مفروشة | نزل سياحي,9,352500,28300,simulated,1274700,Medium,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA) | اشتراطات السلامة (الدفاع المدني) | تصريح سلامة غذاء (هيئة الغذاء والدواء SFDA) | شهادة صحية للعاملين
2024,المنطقة الشرقية,بقيق,الانشطة الاخرى للتعدين واستغلال المحاجر,محجر رمل | كسارة حجر | استخراج مواد بناء,4,286500,27400,simulated,243357,Low,سجل تجاري (وزارة التجارة) | رخصة بلدية (بلدي) | اشتراك الغرفة التجارية | التسجيل في الزكاة والضريبة والجمارك (ZATCA)
